City,Country,McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Water (1.5 liter bottle),Cappuccino (regular),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Average Monthly Net Salary (After Tax),Cost of Living Index,Purchasing Power Index,Safety Index,Health Care Index,Pollution Index,AvgTemperature,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Lat,Long,Population,Overall Score,Employment,Startup,Tourism,Housing,Transport,Health,Food,Internet Speed,Apple Store,Access to Contraception,Gender Equality,Immigration Tolerance,LGBT Friendly,Nightscene,Beer,Festival
Shanghai,China,4.56,1.3,0.61,3.82,970.31,477.33,51.7,14.26,44.9,1111.52,0.35,0.37,0.66,0.61,0.77,1.0,9.688568115,0.798760593,69.2891922,0.898517907,-0.18142575,0.7539711,31.1667,121.4667,22120000.0,57.6,8.2,0.8,8.5,3.5,3.8,0.2,5.5,0.4,5.3,10.0,1.0,0.5,0.9,1.0,7.8,0.2
Bangkok,Thailand,5.04,2.37,0.51,2.07,611.26,299.91,88.89,20.69,61.07,668.6,0.37,0.2,0.59,0.77,0.77,,9.741791725,0.889973223,67.25059509,0.905063033,0.268685192,0.886272311,13.75,100.5167,17066000.0,82.7,10.0,0.9,10.0,7.1,3.5,2.0,6.4,3.1,4.3,9.0,2.0,0.7,6.4,6.5,8.6,2.2
Mumbai,India,3.8,2.28,0.36,1.92,515.42,263.33,47.45,9.09,24.63,487.96,0.2,0.28,0.57,0.66,0.83,1.0,8.849823952,0.592200935,60.21518707,0.881444871,0.057551607,0.772042692,18.9667,72.8333,23355000.0,,,,,,,,,,,,,,,,,
Reykjavík,Iceland,11.64,8.73,1.57,4.11,1458.29,1203.14,88.14,59.63,54.44,2908.86,0.66,0.47,0.78,0.67,0.15,1.0,10.77255917,0.974669576,73.0,0.948891878,0.246944219,0.711709738,64.1475,-21.935,128793.0,,,,,,,,,,,,,,,,,
Amman,Jordan,6.34,6.34,0.53,3.74,373.84,261.02,80.62,38.86,56.38,545.55,0.37,0.21,0.61,0.65,0.76,1.0,9.025999069,0.80216372,66.79975128,0.75104779,-0.162565202,0.700344324,31.95,35.9333,4007526.0,,,,,,,,,,,,,,,,,
Pune,India,3.16,2.28,0.37,1.61,205.68,127.68,26.65,11.7,16.08,531.09,0.18,0.32,0.59,0.66,0.71,,8.849823952,0.592200935,60.21518707,0.881444871,0.057551607,0.772042692,18.5196,73.8553,7764000.0,,,,,,,,,,,,,,,,,
Stockholm,Sweden,7.6,6.55,1.61,3.64,1167.36,804.1,75.9,27.98,37.83,2476.17,0.58,0.54,0.55,0.67,0.2,1.0,10.75879383,0.926311195,72.60076904,0.939144194,0.111614622,0.250880182,59.3294,18.0686,972647.0,80.3,4.5,6.4,3.6,2.5,7.6,4.8,1.3,5.1,5.7,1.3,9.6,8.8,9.6,4.0,0.8,4.8
Buenos Aires,Argentina,4.94,1.5,0.85,1.46,245.13,197.02,68.07,24.79,25.9,483.99,0.26,0.24,0.37,0.68,0.52,1.0,9.810955048,0.900567949,68.80380249,0.831132412,-0.194913864,0.842009842,-34.5997,-58.3819,16157000.0,81.8,2.9,0.6,3.5,8.3,3.7,0.8,7.5,2.1,4.3,5.0,5.6,6.8,9.9,8.3,8.2,4.3
Minsk,Belarus,4.49,1.8,0.58,1.64,376.92,244.9,48.29,12.84,31.85,433.37,0.21,0.22,0.38,0.46,0.41,1.0,9.779945374,0.90674746,66.10433197,0.639163077,-0.164926544,0.63571167,53.9022,27.5618,2020600.0,,,,,,,,,,,,,,,,,
San José,Costa Rica,6.29,2.36,2.16,2.64,461.72,405.66,65.12,65.3,53.68,708.44,0.35,0.29,0.45,0.63,0.52,1.0,9.658156395,0.901545942,71.29985046,0.934738934,-0.10242971,0.786332428,9.9333,-84.0833,288054.0,,,,,,,,,,,,,,,,,
